ADDRESS;CITY;ENTITY_ID;LATITUDE;LOADER_TYPE;LONGITUDE;NUMBER_OF_CHARGING_POINTS;OPERATING_COMPANY;PLUG_TYPES_1;PLUG_TYPES_2;PLUG_TYPES_3;PLUG_TYPES_4;POWER_1_KW;POWER_2_KW;POWER_3_KW;POWER_4_KW;START_UP_DATE;ZIP_CODE
Im Schlossbezirk 2;Salem;6862;47.778123;Normalladeeinrichtung;9.280898;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;22.12.15;88682
Ehbachstr. 1;Uhldingen-Mühlhofen;6863;47.724326;Normalladeeinrichtung;9.235697;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;21.11.16;88690
Ehbachstr. 1;Uhldingen-Mühlhofen;6864;47.724326;Normalladeeinrichtung;9.235697;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;21.11.16;88690
Tschasarteter Platz 7;Deggenhausertal;6865;47.783054;Normalladeeinrichtung;9.39006;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;14.09.18;88693
Tschasarteter Platz 7;Deggenhausertal/Wittenhofen;6866;47.783054;Normalladeeinrichtung;9.390067;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;07.08.14;88693
Kirchstr.;Owingen;6867;47.833279;Normalladeeinrichtung;9.137174;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;24.05.18;88696
Schulstr. 3;Owingen;6868;47.809032;Normalladeeinrichtung;9.172533;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;20.07.18;88696
Schulstr. 3;Owingen;6869;47.809032;Normalladeeinrichtung;9.172533;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;01.02.16;88696
Bahnhofstraße 18;Bermatingen;6870;47.7305278;Normalladeeinrichtung;9.345194444;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;25.10.18;88697
Bahnhofstr. 18;Bermatingen;6871;47.730526;Normalladeeinrichtung;9.345191;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;22.06.16;88697
Kirchstr. 18;Frickingen;6872;47.81393;Normalladeeinrichtung;9.272603;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;03.02.15;88699
Hauptstr. 5/1;Hagnau;6873;47.676523;Normalladeeinrichtung;9.318335;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;18.08.15;88709
